Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
"New York",Weekly,"2021-01-24 00:00:00",Conventional,0.960000000,2881927.88,83027.97,1627172.00,839.93,1008957.69,727279.57,269864.79,11813.33,161930.29
"New York",Weekly,"2021-01-17 00:00:00",Conventional,1.020000000,2580882.11,70504.14,1441142.79,951.17,985537.90,728245.78,241778.79,15513.33,82746.11
"New York",Weekly,"2021-01-10 00:00:00",Conventional,1.050000000,2406554.87,68139.44,1393157.77,1066.02,847583.35,637337.00,197993.02,12253.33,96608.29
"New York",Weekly,"2021-01-04 00:00:00",Conventional,0.960000000,2388356.41,61924.74,1289306.87,1917.58,955051.93,621488.09,320710.51,12853.33,80155.29
Northeast,Weekly,"2021-01-24 00:00:00",Conventional,0.980000000,7883844.76,661914.59,4185198.47,8375.90,2433298.66,1970604.13,397764.53,64930.00,595057.14
Northeast,Weekly,"2021-01-17 00:00:00",Conventional,1.050000000,7336696.90,635105.09,3590162.03,9752.39,2581229.76,2056781.33,444778.43,79670.00,520447.63
Northeast,Weekly,"2021-01-10 00:00:00",Conventional,1.070000000,6848650.22,580478.66,3476123.19,9639.85,2213643.15,1787469.49,355203.66,70970.00,568765.37
Northeast,Weekly,"2021-01-04 00:00:00",Conventional,0.950000000,6919856.03,597119.64,3597640.66,9079.22,2229197.74,1541194.81,622829.04,65173.89,486818.77
"Northern New England",Weekly,"2021-01-24 00:00:00",Conventional,0.880000000,886682.75,18289.43,686339.03,126.53,109129.99,102126.42,190.24,6813.33,72797.77
"Northern New England",Weekly,"2021-01-17 00:00:00",Conventional,1.070000000,743055.45,17622.21,473566.58,96.35,161968.00,155898.91,179.09,5890.00,89802.31
"Northern New England",Weekly,"2021-01-10 00:00:00",Conventional,1.070000000,718282.77,14643.72,462735.27,78.25,136047.33,129107.95,202.71,6736.67,104778.20
"Northern New England",Weekly,"2021-01-04 00:00:00",Conventional,0.840000000,846316.49,16289.66,655427.27,105.15,85583.32,79627.63,115.13,5840.56,88911.09
Orlando,Weekly,"2021-01-24 00:00:00",Conventional,0.810000000,718112.63,311336.90,17853.74,21.45,224339.18,131500.86,91257.76,1580.56,164561.36
Orlando,Weekly,"2021-01-17 00:00:00",Conventional,0.790000000,680268.43,260587.14,17476.06,81.55,257567.93,149427.26,95027.34,13113.33,144555.75
